agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Hampton Police Dept,,,,,,,,Po Box 227, 
Yakutat Police Dept.,,,,,,,,Po Box 110, 
Keewatin Police Department,,,,,,,,P.O. Box 36,CITY HALL
North Carolina Central University Police Dept.,,,,,,,,1801 Fayetteville Street,2010 Fayetteville Street
Burleson County Constable Pct. 2,,,,,,,,P.O. Box 250, 
Wynne Police Department,,,,,,,,206 S. Falls Blvd., 
Ohio County Board of Education,,,,,,,,P.O. Box 70, 
Texas A & M University - Kingsville Police Dept.,,,,,,,,Campus Box 126, 
Wyoming State Parks & Historic Sites,,,,,,,,Barrett Bldg 4Th Fl, 
University of California - Santa Cruz Police,,,,,,,,1156 High St, 
Redding Police Department,,,,,,,,1313 California Street, 
Eagle Grove Police Department,,,,,,,,210 E Broadway, 
Martin Police Department,,,,,,,,P.O. Box 9, 
King County Sheriff's Office,,,,,,,,516 3Rd Ave,W-116 King Co Courthouse
Atascosa County Constable Pct. 4,,,,,,,,744 Highway 281 South, 
Williams County Sheriff's Office,,,,,,,,512 4Th Ave E, 
Cuba Police Department,,,,,,,,PO BOX 385, 
Panama City Beach Police Department,,,,,,,,17110 Firenzo Street, 
Winchester Police Department,,,,,,,,339 Main Street, 
Margaret Police Department,,,,,,,,125 School Street, 
Addison Police Dept,,,,,,,,3 Friendship Plaza, 
El Paso Community College Police Dept.,,,,,,,,P. O. Box 20500, 
Glendale Police Department,,,,,,,,6835 North 57Th Drive, 
Forsyth Technical Community College Police,,,,,,,,2100 Silas Creek Parkway, 
Bethel Police Dept.,,,,,,,,Po Box 809,220 State Hwy
Dundee Police Department,,,,,,,,Post Office Box 1000, 
Titus County Sheriff's Office,,,,,,,,304 S Van Buren Ave, 
Rogers Police Department,,,,,,,,1905 South Dixieland Drive, 
Brazoria County Constable Pct. 3,,,,,,,,P.O. Box 2534, 
Yadkinville Police Department,,,,,,,,Po Drawer 816, 
Maine Bureau of Capitol Security,,,,,,,,State House Station 68,"111 Sewall Street, Rm 111"
North East I.S.D. Police Dept.,,,,,,,,8961 Tesoro, 
Imperial Police Department,,,,,,,,424 S. Imperial Avenue, 
Altus Public Schools Campus Police,,,,,,,,219 North Lee, 
Newton County Constable Pct. 2,,,,,,,,P.O. Box 1502, 
Palmetto Police Department,,,,,,,,401 Carlton Road, 
Vernon Township Police Department,,,,,,,,16678 Mcmath Ave, 
Palo Pinto County Sheriff's Office,,,,,,,,Po Box 279,420 Cedar St
Tyronza Police Department,,,,,,,,P.O. Box 275, 
Crosby County Constable Pct. 2,,,,,,,,1 Elm Rd., 
Kern County Sheriff's Office,,,,,,,,1350 Norris Rd, 
Pima County Sheriff's Dept.,,,,,,,,1750 E. Benson Hwy, 
Hall County Marshal's Office,,,,,,,,P. O. Box 1435, 
Miliken Police Department,,,,,,,,1109 Broad Street,PO Box 286
Nisqually Tribal Police Dept - Fisheries Division,,,,,,,,4820 She-Nah-Num Drive, 
Manalapan Police Department,,,,,,,,600 South Ocean Boulevard, 
Mason Police Department,,,,,,,,Post Office Box 438, 
Milton Police Department,,,,,,,,Post Office Box 909, 
Marion County Constable Pct. 2,,,,,,,,Po Box 291, 
Texas State University at San Marcos Police Department,,,,,,,,601 University Drive, 
Marion Police Department,,,,,,,,Post Office Box 310, 
Yazoo-Mississippi Delta Levee District Police,,,,,,,,Post Office Box 610, 
West Orange Police Department,,,,,,,,2700 Austin Ave., 
Greenbrier Police Department,,,,,,,,P.O. Box 415, 
Naugatuck Valley Community College Police,,,,,,,,750 Chase Parkway, 
Oktibbeha County Sheriff's Office,,,,,,,,111 D. L. Conner Dr, 
Red Oak Police Department,,,,,,,,547 N. Methodist Street, 
Storm Lake Police Department,,,,,,,,401 E Milwaukee Ave, 
Philadelphia Housing Authority Police Dept,,,,,,,,3111 South 23Rd Street, 
Colorado County Constable Pct. 3,,,,,,,,3290 Fm 949, 
Orland Police Department,,,,,,,,817 - 4Th Street, 
Humboldt County Sheriff's Office,,,,,,,,50 W 5Th St, 
Oxnard Police Department,,,,,,,,"251 South ""C"" Street", 
Ridgefield Police Department,,,,,,,,76 East Ridge Road, 
Autaugaville Police Department,,,,,,,,Post Office Box 237, 
Grambling State University Police Dept.,,,,,,,,Po Box 117, 
Graham County Sheriff's Office,,,,,,,,Po Box 622, 
Arkansas Highway Police,,,,,,,,PO Box 2779, 
Perryville Police Department,,,,,,,,P.O. Box 116, 
Quitman County Sheriff's Office,,,,,,,,Po Box 365,233 Chestnut St
Kiowa Police Department,,,,,,,,P. O. Box 69, 
Kidder Township Police Department,,,,,,,,P.O. Box 576, 
Resaca Police Department,,,,,,,,P.O. Box 779, 
San Jacinto County Constable Pct. 3,,,,,,,,P O Box 893, 
Fort Dodge Police Department,,,,,,,,702 1St Ave S, 
Louisville Police Department,,,,,,,,Post Office Box 125, 
Earlville Police Dept,,,,,,,,210 West Railroad Street, 
Jefferson County Constable Pct. 2,,,,,,,,Sub Courthouse 525 Lake Shore Drive, 
North Hampton Police Department,,,,,,,,233 Atlantic Ave., 
Centerville Police Department,,,,,,,,155 West  Spring Valley Road, 
Port Orange Police Department,,,,,,,,1395 Dunlawton Avenue, 
Montgomery Developmental Center Police,,,,,,,,7650 Timbercrest Drive, 
Tripp County Sheriff's Office,,,,,,,,Po Box 531, 
Hapeville Police Department,,,,,,,,700 Doug Davis Dr, 
Provincetown Harbor Police Dept,,,,,,,,260 Commerical, 
Coal Township Police Department,,,,,,,,805 West Lynn Street, 
Palisades Interstate Parkway Police,,,,,,,,P.O. Box 155, 
Valencia County Sheriff's Office,,,,,,,,543 Luna Ave,P.O. Box 1585
Merced Police Department,,,,,,,,611 West 22Nd Street, 
Sonoma State University Police,,,,,,,,1801 E. Cotati Ave, 
Florida City Police Department,,,,,,,,"404 W. Palm Drive, Bldg. 4", 
Vestavia Hills Police Department,,,,,,,,Post Office Box 660854, 
University of Baltimore Police,,,,,,,,1420 N Charles St Public Safety, 
California State University - San Bernardino Police,,,,,,,,5500 University Pkwy, 
Gila River Tribal Police Department,,,,,,,,P.O. Box 2186, 
Las Animas County Sheriff's Office,,,,,,,,2309 E Main St, 
Collinsville Police Department,,,,,,,,P. O. Box 649, 
Cameron County Constable Pct. 4,,,,,,,,P. O. Box 277, 
Los Angeles Police Department,,,,,,,,150 N. Los Angeles Street, 
Plymouth County Sheriff's Office,,,,,,,,24 Long Pond Rd, 
Walnutport Borough Police Department,,,,,,,,417 Lincoln Avenue, 
Luzerne County Detectives,,,,,,,,200 North River Street, 
Boise Police Department,,,,,,,,7200 Barrister, 
East Camden Police Department,,,,,,,,P.O. Box 3046, 
Knox County Sheriff's Office,,,,,,,,400 W Main St, 
Lubbock I.S.D. Police Dept.,,,,,,,,1628 19Th St., 
Hollister Police Department,,,,,,,,Po Box 638, 
Parachute Police Dept,,,,,,,,P O Box 100, 
Clark County Park District Police,,,,,,,,930 South Tecumseh Road, 
Mount Pleasant Police Department,,,,,,,,6200 Durand Avenue, 
Miramar Police Department,,,,,,,,3064 North Commerce Parkway, 
Leech Lake Tribal Dept of Resource Management,,,,,,,,6530 Highway 2 Nw, 
Section Police Department,,,,,,,,Post Office Box 310, 
Milam County Sheriff's Office,,,,,,,,103 S Fannin Ave, 
Hackett Police Department,,,,,,,,P.O. Box 209, 
Rusk County Sheriff's Office,,,,,,,,210 Charlevioux St, 
La Verne Police Department,,,,,,,,2061 - 3Rd Street, 
Galveston County Constable Pct. 1,,,,,,,,1922 Sealy, 
Humboldt Police Department,,,,,,,,1421 Osborne St., 
Idaho City Police Department,,,,,,,,City Hall, 
Odessa College Police Dept.,,,,,,,,201 W. University, 
Windsor Police Department,,,,,,,,Po Box 508, 
University of Toledo Police Department,,,,,,,,2801 West Bancroft, 
Irion County Sheriff's Office,,,,,,,,Po Box 859,209 N Park View
Haines City Police Department,,,,,,,,P.O. Box 1507, 
Iowa Department of Natural Resources - Bureau of Law Enforcement,,,,,,,,Wallace Building,502 E. 9th Street
Montgomery County Sheriff's Office,,,,,,,,208 E Broad St,PO Box 277
Indian Shores Police Department,,,,,,,,19305 Gulf Boulevard, 
Guilford County Sheriff's Office,,,,,,,,Po Box 3427, 
Midland I.S.D. Police Dept.,,,,,,,,"615 W. Missouri, Suite 607", 
Charleston Police Department,,,,,,,,204 N Main Street, 
Dickson Park Ranger Division,,,,,,,,600 E. Walnut Street, 
Charlotte Douglas International Airport Police,,,,,,,,Po Box 19066, 
Woodland Park Police Dept,,,,,,,,P O Box 7255, 
Dougherty County Board of Education Police,,,,,,,,P.O. Box 1470, 
Plainfield Police Department,,,,,,,,200 East 4th Street, 
Royston Police Department,,,,,,,,830 Church Street, 
San Augustine County Constable Pct. 1,,,,,,,,Rt 2 Box 295, 
Owsley County Sheriff's Office,,,,,,,,Po Box 70,Courthouse Main St
VIA Metropolitan Transit Police Dept.,,,,,,,,800 W. Myrtle, 
Natrona County Sheriff's Office,,,,,,,,201 N David St, 
Litchfield Police Department,,,,,,,,74 West Street, 
Washoe County School District Police Department,,,,,,,,425 E. Ninth St, 
Crook County Sheriff's Office,,,,,,,,309 Cleveland St, 
Greenville Police Department,,,,,,,,Post Office Box 158, 
Duluth Police Department,,,,,,,,3276 Burford Highway, 
Magnolia Police Department,,,,,,,,P.O. Box 1126, 
Jefferson State Community College Police Department,,,,,,,,Jefferson State College, 
Newington Police Department,,,,,,,,71 Fox Point Road, 
Tarrant County Constable Pct. 7,,,,,,,,1100 Broad St, 
Wayne County Sheriff's Office,,,,,,,,7368 State Route 31, 
Buffalo Center Police Department,,,,,,,,Po Box 454, 
Hawarden Police Department,,,,,,,,1150 Central Ave., 
Allegany County Bureau of Police,,,,,,,,P.O. Box 1340,11400 PPG ROAD
University of South Carolina - Upstate Police Department,,,,,,,,800 University Way, 
Tuskegee Police Department,,,,,,,,1106 Notasulga Highway, 
East Galesburg Police Dept,,,,,,,,100 East First,P.O. Box 164
Wellsville Police Department,,,,,,,,200 W Hudson St, 
Clayton State University Dept of Public Safety,,,,,,,,2000 Clayton State Blvd, 
State University College at Plattsburgh Police,,,,,,,,101 Broad Street, 
Broadwater County Sheriff's Office,,,,,,,,519 Broadway St, 
Metter Police Department,,,,,,,,P.O. Box 74, 
Triton College Police Dept,,,,,,,,2000 N 5Th Ave, 
Wichita County Sheriff's Office,,,,,,,,Po Box 328,411 South Fourth St
Alvin Police Dept,,,,,,,,1500 S. Gordon St., 
Post Falls Police Department,,,,,,,,1717 East Polston Ave, 
Stark County Sheriff's Office,,,,,,,,66 W Museum Dr,PO Box 130
Whittier Police Department,,,,,,,,7315 S. Painter Avenue, 
Edwards County Constable Pct. 1,,,,,,,,P.O. Box 156, 
Bosque Farms Police Department,,,,,,,,P.O. Box 660, 
Hornbeak Police Department,,,,,,,,P.O. Box 265, 
Indiana University - Richmond Police,,,,,,,,2325 Chester Boulevard, 
Rhode Island College Police,,,,,,,,600 Mt. Pleasant Avenue, 
Hammondville Police Department,,,,,,,,37669 U.S. Highway 11, 
Atkinson Police Dept,,,,,,,,107 W. Main St., 
Fond Du Lac Tribal Dept. of Conservation,,,,,,,,920 Trettle Lane, 
New York City Department of Sanitation,,,,,,,,1824 Shore Pkway, 
Jasper County Constable Pct. 5,,,,,,,,88 Hickory, 
La Salle Police Department,,,,,,,,128 N 2Nd St, 
Richland Hills City Marshal's Office,,,,,,,,3200 Diana Drive, 
Mountain City Police Dept.,,,,,,,,Post Office Box 493, 
Milan Police Department,,,,,,,,P.O. Box 2727, 
James City County Police Dept.,,,,,,,,P.O. Box 8784, 
Longwood University Police Dept.,,,,,,,,201 High Street, 
San Bernardino Valley College,,,,,,,,701 S. Mount Vernon Ave,CC 105
Vernon Police Department,,,,,,,,4305 Santa Fe Avenue, 
Tattnall County Sheriff's Office,,,,,,,,Po Box 545, 
San Diego Police Department,,,,,,,,"1401 Broadway, Ms-706", 
Lincoln Police Department,,,,,,,,Post Office Box 172, 
Pymatuning State Park Police,,,,,,,,2660 Williamsfield Road, 
Shelby County Constable Pct. 1,,,,,,,,P O Box 1771, 
Prairie City Police Department,,,,,,,,Po Box 607, 
Nederland Police Department,,,,,,,,1400 Boston Avenue, 
Kitsap County Sheriff's Office,,,,,,,,614 Division St #Ms-37, 
Wheeler County Sheriff's Office,,,,,,,,Po Box 127,3rd & Commercial
Gove County Sheriff's Office,,,,,,,,Po Box 146,420 Broad St
Alabama State Senate -Security,,,,,,,,11 North Union Street, 
Macon Police Department,,,,,,,,Post Office Box 29, 
Craighead County Constable - District 1,,,,,,,,2106 Denver Rd, 
St. Augustine Police Department,,,,,,,,Post Office Box 1950, 
Bryan County Sheriff's Office,,,,,,,,402 W Evergreen St,Law Enforcement Center
Hudson River Psychiatric Center Safety Division,,,,,,,,10 Ross Circle, 
Cedar Rapids Airport Police,,,,,,,,2929 Lippisch Place, 
Fairfield Police Dept,,,,,,,,305 E Court St, 
Togiak Police Dept.,,,,,,,,P.O. Box 47, 
Athens I.S.D. Police Dept.,,,,,,,,104 Hawn St., 
White Mountain Apache Tribal Police Department,,,,,,,,P. O. Box 889, 
Montgomery County Sheriff's Office,,,,,,,,Po Box 311,Courthouse
Port of Stockton Police Department,,,,,,,,2201 W. Washington St, 
Oceanside Police Department,,,,,,,,3855 Mission Avenue, 
Dubuque Police Department,,,,,,,,770 Iowa St, 
Scottdale Borough Police Department,,,,,,,,10 Mt. Pleasant Road, 
Penobscot Nation Tribal Warden Service,,,,,,,,12 Wabanaki Way, 
Bowie County Constable Pct. 1,,,,,,,,100 North State Line Box 14, 
Mescalero Tribal Conservation Law Enforcement Department,,,,,,,,123 Deer Trail,PO Box 227
Hidalgo County Constable Pct. 3,,,,,,,,"730 N Breyfogle, Ste. B", 
Los Alamitos Police Department,,,,,,,,3201 Katella Avenue, 
Haakon County Sheriff's Office,,,,,,,,Po Box 249,140 S Howard
Catoosa Public Schools Campus Police Dept,,,,,,,,2000 South Cherokee, 
Palestine City Marshal's Office,,,,,,,,504 N. Queen St., 
Suwanee Police Department,,,,,,,,373 Highway 23, 
Blair Township Police Department,,,,,,,,575 Cedarcrest Drive, 
Pike County Sheriff's Office,,,,,,,,100 S 4Th St, 
Monroe County Sheriff's Office,,,,,,,,200 S Main St, 
California State University - San Marcos Police,,,,,,,,441 La Moree Rd,University Svcs Bldg
Highfill Police Department,,,,,,,,11978 Highfill  Ave, 
Pinal County Sheriff's Office,,,,,,,,"971 N Jason Lopez Circle, Bldg C",PO Box 867
Georgia Ports Authority Police,,,,,,,,PO Box 2406, 
Parker Police Dept,,,,,,,,19600 E Parker Sq Dr, 
University of Iowa Police,,,,,,,,808 University Capitol Centre,200 S CAPITOL ST
Wayne County Airport Authority Police,,,,,,,,10250 Middlebelt Road, 
Panama City Police Department,,,,,,,,1209 East 15Th Street, 
Genoa City Police Department,,,,,,,,715 Walworth Street,P.O. Box 428
Northwest State Community College Police,,,,,,,,Police Department,22600 State Route 34
Mississippi Department of Agriculture & Commerce,,,,,,,,PO Box 1609, 
Lake Bluff Police Dept,,,,,,,,45 E Center Ave, 
Mocksville Police Department,,,,,,,,278 N. Main St, 
Batavia Police Dept,,,,,,,,100 North Island Ave, 
Greenbrier County Sheriff's Office,,,,,,,,200 N Court St,PO Box 347
Tracy Police Department,,,,,,,,1000 Civic Center Drive, 
Rutherford County Sheriff's Office,,,,,,,,940 New Salem Rd, 
Bonners Ferry Police Department,,,,,,,,Po Box 149, 
Greenfield Police Department,,,,,,,,222 N. Front St., 
Burbank-Glendale-Pasadena Airport Police,,,,,,,,2627 N. Hollywood Way, 
King City Police Department,,,,,,,,415 Bassett Street, 
College Station City Marshal''s Office,,,,,,,,300 Krenek Tap Road, 
Jefferson County Sheriff's Office,,,,,,,,2200 8Th Ave N, 
University of New Hampshire Police,,,,,,,,1 Rosemary Lane, 
Jackson County Constable Pct. 1,,,,,,,,115 W. Main  Room 100 Courthouse, 
Bowling Green Police Department,,,,,,,,Post Office Box 608, 
Scottsboro Police Department,,,,,,,,23123 John T. Reid Parkway, 
Doral Police Department,,,,,,,,"8300 N.W. 53Rd Street, Suite 200", 
Clarkdale Police Department,,,,,,,,9Th And Main,PO Box 308
Johnston City Police Dept,,,,,,,,500 Washington, 
Farmington Police Department,,,,,,,,P.O. Box 150, 
Rexburg Police Department,,,,,,,,Po Box 280, 
Chiefland Police Department,,,,,,,,14 East Park Avenue, 
La Grange Police Dept,,,,,,,,304 W. Burlington, 
Farmingdale State College Police,,,,,,,,RR 110, 
Fort Wayne International Airport,,,,,,,,3808 Winters Road, 
Central Connecticut State University Police,,,,,,,,1615 Stanley Street, 
Bethlehem Town Police Department,,,,,,,,447 Delaware Avenue, 
University Heights Police Department,,,,,,,,1004 Melrose Ave, 
Wiggins Police Department,,,,,,,,304 Central Ave, 
Colorado School of Mines Police Dept,,,,,,,,1812 Illinois St., 
Washtenaw County Sheriff's Office,,,,,,,,2201 Hogback Rd, 
Placentia Police Department,,,,,,,,401 E. Chapman Avenue, 
Ocilla Police Department,,,,,,,,400 S. Irwin Avenue, 
Sidney Police Department,,,,,,,,Po Box 335, 
Peebles Police Department,,,,,,,,34 S. Nixon Ave., 
Mesquite Police Department,,,,,,,,777 N. GALLOWAY AVE, 
Casey Police Dept,,,,,,,,108 E Main Street,P.O. Box 425
Gerald R. Ford International Airport Police Dept,,,,,,,,5500 44Th St Se, 
Fond Du Lac Tribal Police Department,,,,,,,,930 Trettel Lane, 
St. Louis Community College - Meramac Police,,,,,,,,11333 Big Bend Blvd, 
Hickory Hills Police Dept,,,,,,,,8800 West 87Th Street, 
Fort Morgan Police Department,,,,,,,,901 East Beaver, 
Graceville Police Department,,,,,,,,Post Office Box 637, 
San Augustine County Constable Pct. 2,,,,,,,,902 Holman, 
Wilbarger County Sheriff's Office,,,,,,,,1700 Main St, 
Poulan Police Department,,,,,,,,Post Office Box 68, 
Olathe Police Department,,,,,,,,P O Box 789, 
Gaines County Sheriff's Office,,,,,,,,301 E Ave A, 
Langston University Police Department,,,,,,,,Campus P.D.  P.O. Box 718, 
Union County Sheriff's Office,,,,,,,,Elizabethtown Plaza,1st Floor Admin Bldg
Canon Police Department,,,,,,,,P.O. Box 159, 
Savannah State University Dept of Public Safety.,,,,,,,,P.O. Box 20336, 
Fairfax County Sheriff's Office,,,,,,,,4110 Chain Bridge Rd, 
Breese Police Dept,,,,,,,,500 North 1St, 
White Deer City Marshal's Office,,,,,,,,P.O. Box 98, 
Aransas County I.S.D. Police Dept.,,,,,,,,P. O. Box 907, 
Weatherby Lake Police Department,,,,,,,,7200 Nw Eastside Dr, 
Arizona State University Police Department,,,,,,,,P. O. Box 870804, 
La Paz County Sheriff's Office,,,,,,,,1109 W Arizona Ave, 
Tohono O'Odham Tribal Police,,,,,,,,Po Box 189, 
Forest City Police Department,,,,,,,,Po Box 373, 
Seminole State College Police,,,,,,,,2701 Boren Blvd., 
Inlet Town Police Department,,,,,,,,Inlet Municipal Building,160 Route 28
Tuscaloosa Police Department,,,,,,,,3801 Mill Creek Avenue, 
Dunlap Police Department,,,,,,,,716 Iowa Ave, 
Albertville Police Department,,,,,,,,201 South Broad Street, 
Albert J. Ellis Airport Police Dept,,,,,,,,264 Albert J. Ellis Airport Road, 
Burke County Board of Education Campus Police,,,,,,,,798 BURKE VETERAN AVENUE, 
Fayette County Sheriff's Office,,,,,,,,155 Johnson Ave, 
Amity Police Department,,,,,,,,P.O. Box 197, 
Meigs Police Department,,,,,,,,P.O. Box 47, 
Governors State University Police Dept,,,,,,,,1 University Parkway, 
Randolph County Sheriff's Office,,,,,,,,155 E South St, 
Aragon Police Department,,,,,,,,2814 Rome Hwy, 
Hackleburg Police Department,,,,,,,,Post Office Box 279, 
Elgin Police Dept,,,,,,,,151 Douglas Ave, 
Balch Springs City Marshal's Office,,,,,,,,3117 Hickory Tree Rd., 
Kanawha County Sheriff's Office,,,,,,,,407 Virginia St E,PO Box 75087
South San Antonio I.S.D. Police Dept.,,,,,,,,2515 Bobcat Lane, 
Florence Police Department,,,,,,,,P.O. Box 988, 
Garner Police Department,,,,,,,,135 W 5Th St, 
Anchorage Police Department,,,,,,,,4501 Elmore Rd, 
Newton County Constable Pct. 4,,,,,,,,132 Pvt 7056, 
Kentucky Horse Park Police Department,,,,,,,,4089 Ironworks Pike, 
Rogersville Police Department,,,,,,,,Post Office Box 540, 
Wise County Constable Pct. 1,,,,,,,,po box 2105, 
Smackover Police Department,,,,,,,,201 E. 7Th, 
Dimmit County Constable Pct. 4,,,,,,,,P. O. Box 441, 
Longmont Police Department,,,,,,,,225 Kimbark Street, 
Georgia Department of Agriculture,,,,,,,,"19 Mlk, Jr., Dr.,Room 204", 
Evergreen Park Police Dept,,,,,,,,9420 S. Kedzie Ave., 
Omak Police Department,,,,,,,,Po Box 569, 
Columbus Airport Authority Police,,,,,,,,4600 International Gateway, 
Magnolia City Marshal,,,,,,,,18111 BUDDY RILEY BLVD, 
BART Police Department,,,,,,,,P.O. Box 12500, 
Weston Police Department,,,,,,,,724 Thomas, 
Horseshoe Bay Police Dept.,,,,,,,,P. O. Box 7765 #1 Community Drive, 
Florence County Sheriff's Office,,,,,,,,6719 Friendfield Rd, 
Bell County Constable Pct. 4,,,,,,,,301 Priest Dr., 
Thorndale Police Department,,,,,,,,P. O. Box 308, 
Gentry Police Department,,,,,,,,100 East Main, 
Harlan Police Department,,,,,,,,Po Box 650, 
Mountain View Police Department,,,,,,,,1000 Villa Street, 
Tarleton State University Police Dept.,,,,,,,,P. O. Box T-0560, 
Lake County Sheriff's Office,,,,,,,,1220 Martin St,PO Box 489
Nevada City Police Department,,,,,,,,317 Broad Street, 
New Mexico Gaming Control Board,,,,,,,,"6400 Uptown Blvd., Ste. 100 E",4900 Alamedea north East
Karnes County Constable Pct. 1,,,,,,,,2393 Fm 743, 
Astatula Police Department,,,,,,,,Post Office Box 172, 
State University College at Oneonta Police,,,,,,,,One Alumi Hall, 
Philadelphia District Attorney's Office,,,,,,,,Three S. Penn Square, 
Rostraver Township Police Department,,,,,,,,205 Municipal Drive, 
Readlyn Police Department,,,,,,,,Po Box 70, 
Brookdale Community College Police,,,,,,,,765 Newman Springs Road, 
University of Utah Police Dept,,,,,,,,1735 East South Campus Drive, 
Crested Butte Marshal's Office,,,,,,,,P O Box 39, 
Delaware Department of Justice,,,,,,,,"820 N. French Street, 5Th Floor", 
Plummer Police Department,,,,,,,,Po Box B, 
Lambertville Police,,,,,,,,349 North Main Street, 
Licking Park District Police,,,,,,,,P.O. Box 590,4309 Lancaster Road
Mount Wachusett Community College Police,,,,,,,,444 Green St, 
Lake In The Hills Police Dept,,,,,,,,1115 Crystal Lake Road, 
Killen Police Department,,,,,,,,Post Office Box 27, 
Randolph Police Department,,,,,,,,7777 Ne Birmingham Rd, 
Randolph County School Police,,,,,,,,1208 Andrew Street, 
Indialantic Police Department,,,,,,,,220 Fifth Avenue, 
Champion Township Police Department,,,,,,,,149 Center Street, 
Riverdale Police Department,,,,,,,,6690 Church Street, 
Screven County Sheriff's Office,,,,,,,,202 Rocky Ford Rd, 
Louisiana State University Health Sciences Center Police Dept,,,,,,,,Po Box 33932, 
Shenandoah Police Department,,,,,,,,Po Box 425,400 W Sheridan Ave
Wilton Police Department,,,,,,,,240 Danbury Road, 
Rowan County Sheriff's Office,,,,,,,,232 N Main St, 
New Hampshire Fish & Game - Law Enforcement Division,,,,,,,,11 Hazen Dr., 
Brighton Police Department,,,,,,,,3401 East Bromley Lane, 
University of Cincinnati Police Department,,,,,,,,"51 West Corry Blvd., 3 Edwards", 
McLennan County Constable Pct. 8,,,,,,,,1800 Richter, 
Carrollton Police Department,,,,,,,,115 W. Center Street, 
Coosada Police Department,,,,,,,,Post Office Box 96, 
Foreman Police Department,,,,,,,,P.O. Box 10, 
Essex County Sheriff's Office,,,,,,,,50 Nelson Pl,"New Courts Bldg, 2nd Fl"
Jacksonville Police Dept,,,,,,,,200 W Douglas, 
Tupelo Police Department,,,,,,,,322 Court Street, 
Nevada Taxicab Authority,,,,,,,,1785 E Sahara Ave,Suite 200
Boynton Beach Police Department,,,,,,,,100 E. Boynton Beach Blvd., 
Euharlee Police Department,,,,,,,,30 Burge'S Mill Road, 
Rush Springs Police Department,,,,,,,,P. O. Box 708, 
Butler County Detectives,,,,,,,,"124 West Diamond St., Box 1208", 
Surry Community College Police Department,,,,,,,,630 South Main Street, 
Kent State University Police Department,,,,,,,,Po Box 5190,Stockdale Safety Building
Williamson County Constable Pct. 4,,,,,,,,2501 Mallard Lane, 
Cahokia Police Dept,,,,,,,,103 Main Street, 
Notasulga Police Department,,,,,,,,76 West Main Street, 
Kenansville Police Department,,,,,,,,Po Box 370, 
Lincoln County Sheriff's Office,,,,,,,,215 Justice St,PO Box 587
California State University - Bakersfield Police,,,,,,,,9001 Stockdale Hwy, 
Buena Park Police Department,,,,,,,,6650 Beach Boulevard, 
University of Oregon Dept of Public Safety,,,,,,,,1319 E. 15Th Avenue, 
Glenwood Police Department,,,,,,,,Post Office Box 616, 
Flomaton Police Department,,,,,,,,2125 Ringold Street, 
South Dakota State University Police,,,,,,,,Po Box 520,926 Harvey Dunn
Essex County Sheriff's Office,,,,,,,,P.O. BOX 68, 
Richmond Heights Police Dept,,,,,,,,7447 Dale Ave, 
Highwood Police Dept,,,,,,,,17 Highwood Ave, 
Hidalgo County Sheriff's Office,,,,,,,,720 E. 2nd St., 
Indiana Deaf School Police,,,,,,,,1200 East 42Nd Street, 
Duvall-Carnation Police Department,,,,,,,,Po Box 1500, 
Douglasville Police Department,,,,,,,,6730 Church Street, 
Ignacio Police Department,,,,,,,,P O Box 459, 
Toledo Metropolitan Park District Police,,,,,,,,5100 West Central Avnue, 
Brundidge Police Department,,,,,,,,115 North Main Street, 
Caseyville Police Dept,,,,,,,,10 West Morris, 
Southeastern Louisiana University Police,,,,,,,,500 Western Ave. (Pride Hall), 
Elkins Police Department,,,,,,,,1874 Stokenbury, 
West Virginia Division of Protective Services,,,,,,,,"State Capitol, Room 152 A", 
Utah State Fire Marshal - Arson Investigation Division,,,,,,,,5272 College Drive,Suite 302
Sallisaw Police Department,,,,,,,,P. O. Box 525, 
Austin Airport Police,,,,,,,,3600 Presidential Blvd,Suite 508
East Alton Police Dept,,,,,,,,211 Shamrock, 
Chickasaw Police Department,,,,,,,,8 Lange Drive, 
Wickenburg Police Department,,,,,,,,155 N. Tegner, 
Arizona State Capitol Police,,,,,,,,"1700 W. Washington, B-15", 
Huntsville Police Department,,,,,,,,P.O. Box 549, 
Monmouth County Prosecutor's Chief,,,,,,,,132 A. Jerseyville Avenue, 
Gregg County Constable Pct. 2,,,,,,,,3211 West Marshall, 
Ault Police Department,,,,,,,,P O Box 1098, 
Massachusetts Environmental Police,,,,,,,,251 Causeway Street,Suite 101
Parma Police Department,,,,,,,,Po Box 608, 
Bristol Bay Borough Police Dept.,,,,,,,,Po Box 655, 
Denmark Technical College Public Safety,,,,,,,,Po Box 327, 
McCurtain County Sheriff's Office,,,,,,,,200 N Central Ave, 
Valley County Sheriff's Office,,,,,,,,125 S 15Th St, 
Arizona Western College Police Department,,,,,,,,P.O. Box 929,2020 S. Avenue 8E
Nemaha County Sheriff's Office,,,,,,,,212 N 6Th St, 
Skagit County Sheriff's Office,,,,,,,,600 S 3Rd St Ste 100,Public Safety Bldg
Lebanon Police Department,,,,,,,,Goshen Hill Road, 
New Castle Police Department,,,,,,,,1 Municipal Blvd., 
Tuscumbia Police Department,,,,,,,,Post Office Box 967, 
East Hazel Crest Police Dept,,,,,,,,17223 S Throop St, 
Tolleson Police Department,,,,,,,,9555 West Van Buren, 
Comal County Constable Pct. 2,,,,,,,,Po Box 250, 
Johnson County Sheriff's Office,,,,,,,,125 N Cherry St, 
