agency_name,addr1,addr2
Strafford Police Department,Po Box 145, 
Strafford Police Department,113 E. Pine,PO Box 66
Strang Police Department,P. O. Box 286, 
Strasburg Borough Police Department,145 Precision Ave, 
Strasburg Police Department,358 Fifth Street Sw, 
Strasburg Police Department,P.O. Box 351,174 East King
Stratford Borough Police,315 Union Avenue, 
Stratford Police Department,900 Longbrook Avenue, 
Stratford Police Department,265 North Third Avenue,P.O. Box 12
Stratford Police Department,P. O. Box 569, 
Stratford Police Department,P. O. Box 188, 
Stratham Police Department,76 Portsmouth Ave., 
Strathmoor Village Police Department,Republic Bank Building,2801 Bardstown Road
Stratton Marshal's Office,PO Box 64, 
Stratton Police Department,136 Third Avenue, 
Strawberry Point Police Department,Po Box 279, 
Streamwood Police Dept,401  E. Irving Park Road, 
Streator Police Dept,204 S Bloomington St, 
Streetsboro Police Department,2080 State Route #303, 
Stringtown Police Department,P. O. Box 98, 
Strongsville Police Department,18688 Royalton Road, 
Stroud Area Regional Police Department,100 Day Street, 
Stroud Police Department,P. O. Box 500, 
Strum Police Department,202 Fifth Avenue South,P.O. Box 25
Struthers Police Department,6 Elm Street, 
Stryker Police Department,Pob 404,200 N. Defiance St
Stuart Police Department,830 Martin Luther King Jr. Blvd., 
Stuart Police Department,Po Box 370, 
Sturbridge Police Department,346 Main Street, 
Sturgeon Bay Police Department,421 Michigan Street, 
Sturgeon Police Department,303 Station Dr   Po Box 387, 
Sturgis Police Department,Post Office Box 97, 
Sturgis Police Department,1400 Main Street, 
Sturgis Police Department,122 North Nottawa, 
Sturgis Police Department,P.O. Box 98, 
Sturtevant Police Department,2801 89Th Street, 
Stutsman County Sheriff's Office,205 6Th St Se, 
Stuttgart Police Department,514 South Main Street, 
Sublette County Sheriff's Office,Po Box 701,35 1/2 S Tyler St
Sudan Police Department,100 East 1St Street, 
Sudbury Police Department,415 Boston Post Rd, 
Suffern Village Police Department,61 Washington Avenue, 
Suffield Police Department,911 Mountain Road, 
Suffolk (City) Sheriff's Office,150 N Main St, 
Suffolk County Park Police,P.O. Box 687, 
Suffolk County Police Department,30 Yaphank Avenue, 
Suffolk County Sheriff's Office,20 Bradston St, 
Suffolk County Sheriff's Office,100 Center Dr, 
Suffolk Police Department,120 Henley Place, 
Sugar Creek Police Department,1001 Heroes Way, 
Sugar Grove Police Department,101 Bridge Street, 
Sugar Grove Police Dept,P. O. Box 2, 
Sugar Hill Police Department,Po Box 567,1411 Rte. 117
Sugar Land Police Department,PO BOX 110, 
Sugar Mountain Police Department,237 Dick Trundy Lane, 
Sugar Notch Police Dept,Po Box 41,Main and Freed Sts
Sugarcreek Borough Police Department,212 Fox Street, 
Sugarcreek Police Department,410 South Broadway Street, 
Sugarcreek Township Police Department,4398 Clyo Road, 
Sugarloaf Township Police Department,P.O. Box 61, 
Suisun City Police Department,701 Civic Center Boulevard, 
Sul Ross University Police Dept.,Srsu Box C-19, 
Sulligent Police Department,Post Office Box 365, 
Sullivan City Police Department,P. O. Box 249, 
Sullivan County Sheriff's Office,Po Box 589,140 Blountville Bypass
Sullivan County Sheriff's Office,245 MUNCY STREET SUITE 140, 
Sullivan County Sheriff's Office,24 S State St, 
Sullivan County Sheriff's Office,County Courthouse, 
Sullivan County Sheriff's Office,14 Main St,PO Box 27
Sullivan County Sheriff's Office,4 Bushnell Ave, 
Sullivan Police,32 North Court Street, 
Sullivan Police Department,106 Progress Dr, 
Sullivan Police Dept,307 S Van Buren, 
Sullivan's Island Police Department,1608 Middle Street, 
Sully County Sheriff's Office,Po Box 189,700 Ash Ave
Sulphur Police Department,600 W. Broadway, 
Sulphur Police Department,Po Box 1309, 
Sulphur Springs I.S.D. Police Dept.,631 Connally St., 
Sulphur Springs Police Department,P.O. Box 145, 
Sulphur Springs Police Department,125 S. Davis Street, 
Sumas Police Department,433 Cherry Street,PO BOX 9
Sumiton Police Department,Post Office Box 10, 
Summerdale Police Department,Post Office Box 148, 
Summerhill Township Police Department,114 Irvan Street, 
Summers County Sheriff's Office,96 Park Ave,PO Box 157
Summerset Police Department,PO Box 783, 
Summersville Police Department,195 Rogers Ave,PO Box 242
Summersville Police Department,Post Office Box 525, 
Summerton Police Department,Po Box 279, 
Summerville Police Department,300 West 2Nd North Street, 
Summerville Police Department,Post Office Box 180, 
Summit Behavioral Health Center Police Department,1101 Summit Road, 
Summit County Metro Parks Ranger Dept,975 Treaty Line Road, 
Summit County Sheriff's Office,Po Box 210,501 North Park Ave
Summit County Sheriff's Office,6300 Silver Creek Dr Ste 5, 
Summit County Sheriff's Office,53 University Ave, 
Summit Hill Borough Police Department,40 W. Amidon St., 
Summit Police,512 Springfield Avenue, 
Summit Police Department,Post Office Box 583, 
Summit Police Dept,5810 S Archer Road, 
Summit Township Police Department,2911 North Dousman Road, 
Summit Township Police Department,192 Township Office Road,P.O. Box 27
Summitville Police,Post Office Box 520, 
Sumner County Sheriff's Office,117 W Smith St, 
Sumner County Sheriff's Office,60 E Hillside, 
Sumner Police Department,Po Box 236, 
Sumner Police Department,Post Office Box 397, 
Sumner Police Department,"1104 Maple Street, Suite 140", 
Sumner Police Dept,129 E. South, 
Sumpter Township Police Department,23501 Sumpter Rd, 
Sumrall Police Department,Post Office Box 247, 
Sumter County Sheriff's Office,225 E Mccollum Ave,PO Box 188
Sumter County Sheriff's Office,107 E Hampton Ave, 
Sumter County Sheriff's Office,352 Mcmath Mill Rd,PO Box 726
Sumter County Sheriff's Office,118 Hospital Drive,P.O. Box 782
Sumter Police Department,107 E. Hampton Ave., 
Sun Police Department,Po Box 818, 
Sun Prairie Police Department,300 East Main Street, 
Sun Valley Police Department,Po Box 416, 
Sunapee Police Department,Po Box 91,9 Sargaent Road
Sunbury Police Department,440 Market St, 
Sunbury Police Department,9 East Granville Street,P.O. Box 703
Sundance Police Department,Box 542, 
Sunderland Police Department,105 River Road, 
Sundown Police Department,P. O. Box 600, 
Sunflower County Sheriff's Office,1300 Allen Rd, 
Sunflower Police Department,Post Office Box 145, 
Sunland Park Police Department,"1000 Mcnutt Rd., Suite C", 
Sunman Police,P.O. Box 147, 
Sunny Isles Beach Police Department,18070 Collins Avenue   2Nd Floor, 
Sunnyside Police Department,401 Homer Street, 
Sunnyvale Department of Public Safety,P.O. Box 3707, 
Sunray Police Department,P. O. Box 250, 
Sunrise Beach Police Department,124 Sunrise Drive, 
Sunrise Beach Police Department,P.O BOX 565, 
Sunrise Police Department,777 Sawgrass Corporate Parkway, 
Sunriver Police Department,Po Box 4788, 
Sunset Beach Police Department,700 Sunset Boulevard North, 
Sunset Hills Police Department,3905 S Lindbergh Blvd, 
Sunset Police Department,139 Castille St., 
Sunset Police Department,200 West 1300 North, 
Sunset Valley Police Department,3205 Jones Road, 
Superior Police Department,"1316 North 14Th Street, Suite 150", 
Superior Police Department,734 Main Street, 
Superior Police Dept,154 West 5Th Street, 
Suquamish Tribal Police,16281 A State Hwy 305,PO BOX 1021
Surf City Police,813 Long Beach Boulevard, 
Surf City Police Department,Po Box 2515, 
Surfside Beach Police Department,1304 Monument Dr., 
Surfside Beach Public Safety Department,811 Pine Drive, 
Surfside Police Department,9293 Harding Avenue, 
Surgoinsville Police Department,P.O. Box 67, 
Suring Police Department,604 East Main Street,P.O. Box 31
Surprise Police Department,"14250 W. Statler Plaza, Ste 103", 
Surrey Police Department,Po Box 429, 
Surry Community College Police Department,630 South Main Street, 
Surry County Sheriff's Office,Po Box 827, 
Surry County Sheriff's Office,Po Box 233,45 School St
Susanville Police Department,1801 Main Street, 
Susquehanna Area Regional Airport Authority,"One Terminal Drive, Suite 101", 
Susquehanna County Detectives,P.O. Box 218,"11 Maple St., Courthouse Annex"
Susquehanna County Sheriff's Office,Po Box 218,County Courthouse
Susquehanna Regional Police Department,188 Rock Point Road, 
Susquehanna Township Police Department,1900 Linglestown Rd, 
Sussex County Prosecutor's Chief,19-21 High Street, 
Sussex County Sheriff's Office,39 High St, 
Sussex County Sheriff's Office,Po Box 1326,20212 Thornton Square
Sutherland Police Department,Po Box 128, 
Sutherlin Police Department,126 E. Central Avenue, 
Sutter County Sheriff's Office,1077 Civic Center Blvd, 
Sutter Creek Police Department,18 Main Street, 
Sutton County Sheriff's Office,309 E Oak St, 
Sutton Police Department,Post Office Box 366, 
Sutton Police Department,4 Uxbridge Road, 
Sutton Police Department,Po Box 17 N. Sutton, 
Sutton Police Dept,P.O. Box 437, 
Suttons Bay Police Department,420 Front St,PO Box 395
Suwanee Police Department,373 Highway 23, 
Suwannee County Sheriff's Office,200 S Ohio Ave Mlk Ave,Ste 105
Swain County Sheriff's Office,Po Box 1398, 
Swainsboro Police Department,P.O. Box 600, 
Swampscott Police Department,86 Burrill St, 
Swan's Island Police Department,Po Box 100,125 Harbor Rd
Swansboro Police Department,502 Church Street, 
Swansea Police Department,111 Gardner Neck Rd, 
Swansea Police Department,P.O. Box 429, 
Swansea Police Dept.,1400 N. Illinois St., 
Swanton Police Department,120 First Street, 
Swanton Police Department,219 Chestnut Street, 
Swanzey Police Department,Po Box 10009,34 Eaton Road
Swarthmore Borough Police Department,121 Park Ave, 
Swartz Creek Police Department,8100-A Civic Drive, 
Swatara Township Police Department,599 Eisenhower Blvd, 
Swayzee Police,213 S. Washington Street,P. O. Box 247
Sweden Township Police Department,121 Faith Street, 
Swedesboro Borough Police,1500 Kings Highway, 
Sweeny I.S.D. Police Dept.,1310 Elm Street, 
Sweeny Police Department,123 N. Oak Street, 
Sweet Grass County Sheriff's Office,Po Box 567,"Courthouse, 200 W 1st Ave"
Sweet Home Police Department,1950 Main Street, 
Sweet Springs Police Department,324 S Miller Street, 
Sweetser Police,113 North Main Street, 
Sweetwater County Sheriff's Office,731 C St,Ste 234
Sweetwater Police Department,500 S.W. 109Th Avenue, 
Sweetwater Police Department,P.O. Box 267, 
Sweetwater Police Department,P. O. Box 450, 
Swift County Sheriff's Office,Ste 4,301 - 14th St N
Swifton Police Department,Po Box 40, 
Swinomish Tribal Police Department,17353 Reservation Rd, 
Swisher County Sheriff's Office,136 E Broadway Ave, 
Swissvale Borough Police Department,7560 Roslyn St, 
Switzerland County Sheriff's Office,405 Liberty St, 
Swoyersville Borough Police Department,675 Main Street, 
Sycamore Police Department,2529 Us Hwy 41, 
Sycamore Police Department,134 North Sycamore Street,P.O. Box 279
Sycamore Police Dept.,535 Dekalb Ave, 
Sycuan Tribal Department of Public Safety,5459 Dehesa Road, 
Sykesville Borough Police Department,21 E Main St, 
Sykesville Police Department,7547 Main St., 
Sylacauga Police Department,Post Office Box 2460, 
Sylva Police Department,83 Allen Street, 
Sylvan Lake Police Department,1820 Inverness, 
Sylvania Police Department,6635 Maplewood Ave, 
Sylvania Police Department,216 Mims Road, 
Sylvania Police Department,Post Office Box 150, 
Sylvania Township Police Department,4420 King Road, 
Sylvester Police Department,Post Office Box 368, 
Syracuse Police,310 N. Huntington Street, 
Syracuse Police Department,2581 Third Street,P.O. Box 266
Syracuse Police Department,1751 South 2000 West, 
Syracuse Police Department,511 South State Street, 
Table Mountain Tribal Police Department, , 
Tabor City Police Department,1108 East 5Th St.,1108 East 5th St.
Tabor Police Department,Po Box 309, 
Tacoma Police Department,3701 South Pine, 
Taft I.S.D. Police Dept.,400 College St., 
Taft Police Department,320 Commerce Way, 
Taft Police Department,P.O. Box 416,501 Green Avenue
Tahlequah Police Department,101 S. Cherokee, 
Tahoka I.S.D. Police Dept.,P. O. Box 1230, 
Tahoka Police Department,P. O. Box 300, 
Takoma Park Police Department,7500 Maple Ave, 
Talala Police Department,P. O. Box 52, 
Talbot County Sheriff's Office,Po Box 544, 
Talbot County Sheriff's Office,115 W. Dover Street, 
Talbotton Police Department,Post Office Box 215, 
Talent Police Department,Po Box 445, 
Taliaferro County Sheriff's Office,113 Monument St Se,PO Box 97
Talihina Police Department,P. O. Box 457, 
Talladega County Sheriff's Office,Po Box 996,148 E St No
Talladega Police Department,P.O. Box 761, 
Tallahassee Community College Police,444 Appleyard Drive, 
Tallahassee Police Department,234 East Seventh Avenue, 
Tallahatchie County Sheriff's Office,Po Box 100, 
Tallapoosa County Sheriff's Office,316 Industrial Park Dr, 
Tallapoosa Police Department,15 E. Alabama Street, 
Tallassee Police Department,3 Freeman Avenue, 
Tallmadge Police Department,53 Northeast Avenue, 
Tallulah Falls Police Dept,Post Office Box 56, 
Tallulah Police Dept.,500 East Green St., 
Tama County Sheriff's Office,100 N Main St,PO Box 34
Tama Police Department,305 Siegel St, 
Tamaqua Borough Police Department,320 East Broad Street, 
Tamms Police Dept,P. O.  Box 69, 
Tampa International Airport Police Dept,Post Office Box 22287, 
Tampa Police Department,411 North Franklin Street, 
Tampico Police Dept,104 W Market St,P. O. Box 219
Tamworth Police Department,Po Box 69, 
Tanana Police Department,Po Box 77189, 
Taney County Sheriff's Office,Po Box 1005, 
Taneytown Police Department,120 E. Baltimore Street, 
Tangier Police Department,P.O. Box 244, 
Tangipahoa Parish Sheriff's Office,15475 Club Deluxe Rd, 
Tangipahoa Police Department,Po Box 156, 
Taos County Sheriff's Office,105 Albright St,Ste K
Taos Police Department,107 Civic Plaza Drive, 
Taos Pueblo Tribal Police Department,P.O. Box 1846, 
Taos Ski Valley Marshal's Dept.,P.O. Box 100, 
Tappahannock Police Department,P.O. Box 266, 
Tarboro Police Department,Po Box 500, 
Tarentum Borough Police Department,318 Second Avenue, 
Tarkio Police Department,602 Main Street, 
Tarleton State University Police Dept.,P. O. Box T-0560, 
Tarpon Springs Police Department,444 South Huey Avenue, 
Tarrant County College District Police Dept.,1500 Houston St., 
Tarrant County Constable Pct. 1,100 W Weatherford, 
Tarrant County Constable Pct. 2,700 E ABRAM ST STE 202, 
Tarrant County Constable Pct. 3,Tarrant Co Gov'T Complex,645 Grapevine Highway
Tarrant County Constable Pct. 4,6713 Telephone Rd., 
Tarrant County Constable Pct. 5,300 W. Belknap, 
Tarrant County Constable Pct. 6,6551 Granbury Road, 
Tarrant County Constable Pct. 7,1100 Broad St, 
Tarrant County Constable Pct. 8,3212 Miller Ave., 
Tarrant County Hospital District Police Dept.,1500 S. Main St., 
Tarrant County Sheriff's Office,Plaza Building,"200 Taylor, 7th Floor"
Tarrant Police Department,2593 Commerce Circle, 
Tarrant Regional Water District,10201 Northshore Drive, 
Tarrytown Village Police Department,One Depot Plaza, 
Tatamy Borough Police Department,425 Broad Street,P.O. Box 277
Tate County Sheriff's Office,1 Justice Dr, 
Tattnall County Sheriff's Office,Po Box 545, 
Tatum Police Department,P.O. Box 1105, 
Tatum Police Department,P.O. Box 691, 
Taunton Police Department,23 Summer Street, 
Tavares Police Department,Post Office Box 1068, 
Tawas Police Authority,810 West Westover, 
Taylor Borough Police Department,122 Union St, 
Taylor County Constable Pct. 1,301 Oak Street, 
Taylor County Sheriff's Office,P.O. Box 213, 
Taylor County Sheriff's Office,224 S 2Nd St, 
Taylor County Sheriff's Office,203 N Court St, 
Taylor County Sheriff's Office,108 N Jefferson St,County Courthouse
Taylor County Sheriff's Office,Po Box 189,214 W Main St
Taylor County Sheriff's Office,450 Pecan St, 
Taylor County Sheriff's Office,Po Box 606,5 North Ivy St
Taylor Mill Police Department,5227 Taylor Mill Rd., 
Taylor Police Department,1469 So. County Road 59, 
Taylor Police Department,500 S. Main St., 
Taylor Police Department,23515 Goddard Rd, 
Taylorsville Police Department,2600 West Taylorsville Blvd, 
Taylorsville Police Department,"67 Main Avenue Drive, S.E.", 
Taylorsville Police Department,P.O. Box 279, 
Taylorsville Police Department,Post Office Box 358, 
Taylortown Police Department,P.O. Box 1274, 
Taylorville Police Dept,108 West Vine, 
Tazewell County Sheriff's Office,104 Court St, 
Tazewell County Sheriff's Office,101 S Capitol St, 
Tazewell Police Department,P.O. Box 608, 
Tazewell Police Department,P.O. Box 206, 
Tchula Police Department,Post Office Box 356, 
Tea Police Department,Po Box 61,120 S. Main Street
Teague Police Department,105 South 4Th Street, 
Teaneck Police,900 Teaneck Road, 
Tecumseh Police Department,109 W. Washington, 
Tecumseh Police Department,309 East Chicago Blvd, 
Tecumseh Police Dept,148 S. 4Th Street, 
Tega Cay Police Department,4 Tega Cay Drive, 
Tehachapi Police Department,129 East F Street, 
Tehama County Sheriff's Office,502 Oak St,PO Box 729
Tekamah Police Dept,P.O. Box 143, 
Telfair County Sheriff's Office,128 E Oak St Ste 3, 
Telford Borough Police Department,100 Penn Ave, 
Tell City Police,707 Mosart Street, 
Teller County Sheriff's Office,11400 Us Highway 24,PO Box 27
Tellico Plains Police Department,201 Southard St., 
Telluride Marshal's Office,134 S. Spruce Street, 
Tempe Police Department,120 E. 5Th Street, 
Temple - Greenville Police Department,38 Main Street,PO Box 478
Temple College D.P.S.,2600 South First St., 
Temple Police Department,Post Office Box 160, 
Temple Police Department,209 East Avenue A, 
Temple Terrace Police Department,Post Office Box 16930, 
Temple University Campus Police Dept,1101 W. Montgomery Ave., 
Templeton Police Department,33 South Rd, 
Tenafly Police,100 Riveredge Road, 
Tenaha City Marshal's Office,P. O. Box 70, 
Tenaha Marshal's Office,P. O. Box 70, 
Tenino Police Department,Po Box 4019, 
Tennessee Alcoholic Beverage Commission,"226 Capital Blvd., Ste. 300", 
Tennessee Bureau of Investigation,901 R. S. Gass Blvd., 
Tennessee Department of Revenue - Special Investigation,P.O. Box 198466, 
Tennessee Department of Safety,Menzler-Nix Building,1144 Foster Avenue
Tennessee Dept. of Environment Conservation - Park Rangers,401 Church Street,"1st Floor, L&C Annex"
Tennessee State Fire Marshal,1210 Foster Avenue, 
Tennessee State University,3500 John A. Merritt Blvd., 
Tennessee Tech University,P.O. Box 5081, 
Tennessee Wildlife Resources Agency,P.O. Box 40747, 
Tennille Police Department,P.O. Box 145, 
Tensas Basin Levee District Police,505 District Dr, 
Tensas Parish Sheriff's Office,Po Box 138,203 Hancock St
Tequesta Police Department,375 Tequesta Drive, 
Terra Alta Police Department,701-A East State Avenue, 
Terrace Park Police Department,428 Elm Street, 
Terre Haute International Airport Police,581 South Airport Street, 
Terre Haute Police,1211 Wabash Avenue, 
Terrebonne Parish Sheriff's Office,Po Box 1670, 
Terrell County Sheriff's Office,"Po Box 463, 513 South Main St", 
Terrell County Sheriff's Office,Po Box 320,108 Hackberry St
Terrell Hills Police Department,5100 N. New Braunfels Ave, 
Terrell I.S.D. Police Dept.,700 North Catherine Street, 
Terrell Police Department,201 E. Nash Street, 
Terry County Sheriff's Office,1311 Tahoka Rd,PO Box 1106
Terry Police Department,Post Office Box 327, 
Tesuque Tribal Police Department,Rte. 42,Box 360-T
Teton County Sheriff's Office,Po Box 1885, 
Teton County Sheriff's Office,Po Box 1349,18 1St SE
Teton County Sheriff's Office,89 N Main St Ste 7, 
Teutopolis Police Dept,106 West Main St., 
Tewksbury Police Department,918 Main Street, 
Tewksbury Township Police,167 County Rd. 517, 
Texarkana Community College Police Dept.,2500 N. Robison Rd., 
Texarkana I.S.D. Police Department,2111 Kennedy Lane,4241 Summerhill Road
Texarkana Police Department,100 North State Line Box 15, 
Texarkana Police Department,"100 N. State Line, Box 16", 
Texas A & M International University Police Dept.,5201 University Blvd., 
Texas A & M University - Commerce Police Dept.,P. O. Box 3011, 
Texas A & M University - Corpus Christi Police Dept.,6300 Ocean Drive, 
Texas A & M University - Kingsville Police Dept.,Campus Box 126, 
Texas A & M University - Texarkana Police Dept.,2600 N. Robison Rd., 
Texas A & M University Police Dept.,1231 Tamu, 
Texas A & M University Police Dept.-Galveston,P. O. Box 1675, 
Texas Alcoholic Beverage Commission,5806 Mesa Drive,Enforcement Training Section
Texas City Police Department,1004 9Th Ave North, 
Texas County Sheriff's Office,115 E Main St, 
Texas County Sheriff's Office,1102 S Ellison St, 
Texas Department of Insurance,P. O. Box 149336 Mail Code 109-3A, 
Texas Department of Public Safety,"Attn: Cindy Torres, Hr",P O Box 4087
Texas Forest Service,P. O. Box 310, 
Texas Lottery Commission,P. O. Box 16630, 
Texas Parks & Wildlife Department,4200 Smith School Rd,Attn: Randall Odom
Texas Racing Commission,P.O. Box 12080, 
Texas Southern University Police Dept.,3100 Cleburne, 
Texas State Fire Marshal's Office,P. O. Box 149221 333 Guadalupe, 
Texas State Technical College -  Sweetwater D.P.S.,Texas State Tech Inst.,300 College Drive
Texas State Technical College - Harlingen Campus Police,1902 North Loop 499, 
Texas State Technical College - Marshall Dept. of Public Safety,2650 East End Blvd. South, 
Texas State Technical College - Waco Police Department,1101 Airline Drive,1101 AIRLINE DRIVE
Texas State University at San Marcos Police Department,601 University Drive, 
Texas Tech University Police Dept.,P.O. Box 43041, 
Texas Woman's University Police Dept.,Dept Of Public Safety,P.O. Box 425767
Texhoma Police Department,P. O. Box 309, 
Texico Police Department,P.O. Box 208, 
Thackerville Police Department,P.O. Box 478, 
Thatcher Police Department,P. O. Box 670, 
Thayer County Sheriff's Office,324 Olive Ave, 
Thayer Police Department,112 Front St, 
Thayer Police Dept,P.O. Box 342, 
The Colony Police Department,5151 N. Colony Blvd., 
The Dalles Police Department,401 Court Street, 
The Village Police Department,2304 Manchester, 
Theresa Police Department,202 South Milwaukee Street, 
Thermopolis Police Dept,417 Arapahoe, 
Thetford Police Department,P.O. Box 126,p.o. box 126
Thetford Township Police Department,4014 East Vienna Rd, 
Thibodaux Police Department,1309 Canal Blvd., 
Thief River Falls Police Department,102 W. 1St St.,P.O. BOX 413
Thiensville Police Department,250 Elm Street, 
Thomas County Sheriff's Office,Po Box 82,"Courthouse, 503 Main"
Thomas County Sheriff's Office,Po Box 588,921 Smith Ave
Thomas County Sheriff's Office,225 N Court Ave, 
Thomas Nelson Community College Police Dept,P.O. Box 9407, 
Thomas Police Department,P. O. Box 673, 
Thomas Township Police Department,8215 Shield Drive, 
Thomasboro Police Dept,101 West Main Street,P. O. Box 488
Thomaston Police Department,Po Box 299, 
Thomaston Police Department,158 Main Street, 
Thomaston Police Department,1100 Barnesville Street, 
Thomasville Police Department,Po Box 1669, 
Thomasville Police Department,P.O. Box 1540, 
Thomasville Police Department,Post Office Box 127, 
Thompson Falls Police Department,Po Box 99, 
Thompson Police Department,Po Box 266, 
Thompson Township Police Department,6784 Madison Road,P.O. Box 134
Thompsons Police Department,P.O. Box 29, 
Thomson Police Department,Post Office Box 1017, 
Thomson Police Dept,2100 Main St., 
Thomson Township Police,P.O. Box 92, 
Thorndale Police Department,P. O. Box 308, 
Thornton Police Department,16 Merrill Access Road, 
Thornton Police Dept,700 Park, 
Thornton Police Dept,9551 Civic Center Drive, 
Thorntown Police,101 West Main Street, 
Thornville Police Department,P.O. Box 497,1 South Main Street
Thorp Police Department,300 West Prospect Street,P.O. Box 334
Thorsby Police Department,Post Office Box 608, 
Thrall Police Department,P.O. Box 535, 
Three Forks Marshals Office,Po Box 309, 
Three Lakes Police Department,1795 Erie Street,P.O. Box 5
Three Oaks Police Department,14 E Maple St, 
Three Rivers Park District Police Department.,3000 Xenium Lane North, 
Three Rivers Police Department,333 West Michigan Ave, 
Three Rivers Police Department,P.O. Box 398, 
Throckmorton County Sheriff's Office,105 N Minter Ave,PO Box 573
Throop Borough Police Department,201 Charles Street, 
Thunderbolt Police Department,2821 River Dr., 
Thurmont Police Department,10 Frederick Rd, 
Thurston County Sheriff's Office,2000 Lakeridge Dr Sw, 
Thurston County Sheriff's Office,Po Box 370,"Courthouse, 106 S 5th St"
Tiburon Police Department,1155 Tiburon Boulevard, 
Tickfaw Police Department,Po Box 308, 
Ticonderoga Town Police Department,135 Burgoyne Road,Box 471
Tidehaven I.S.D. Police Dept.,P. O. Box 129, 
Tidioute Borough Police Department,174 Main Street, 
Tieton Police Department,Po Box 357, 
Tiffin Developmental Center Police,600 North River Road, 
Tiffin Police Department,51 East Market Street, 
Tift County Sheriff's Office,500 Morgan Dr,PO Box 46
Tifton Police Department,527 Commerce Way, 
Tigard Police Department,13125 Sw Hall Blvd, 
Tigerton Police Department,221 Birch Street,P.O. Box 147
Tignall Police Department,Post Office Box 218, 
Tiki Island Police Department,747 Tiki Drive, 
Tilden Police Dept,P.O. Box 83, 
Tilden Police Dept,381 Butler Street,P.O. Box 342
Tilden Township Police Department,870 Hex Highway, 
Tillamook County Sheriff's Office,5995 Long Prairie Rd, 
Tillamook Police Department,210 Laurel, 
Tillman County Sheriff's Office,1200 S Main St,Tillman Cnty Law Enf Ctr
Tilton Police Department,Po Box 292,179 East Main Street
Tilton Police Dept, 1001 Tilton Road, 
Tiltonsville Police Department,123 Grandview Avenue,P. O. Box 127
Timber Lake Police Department,Po Box 31,700 Main Street
Timberville Police Department,392 S. Main Street, 
Timmonsville Police Department,117 East Main Street, 
Timpson I.S.D. Police Dept.,P.O. Drawer 370, 
Timpson Police Dept.,P.O. Box 369, 
Tinicum Township Police Department,629 N Governor Printz Blvd., 
Tinicum Township Police Department,165 Municipal Road, 
Tinley Park Police Dept,7850 West 183Rd Street, 
Tinton Falls Police,556 Tinton Avenue, 
Tioga County Detectives,118 Main St,Tioga District Attorney
Tioga County Sheriff's Office,116 Main St, 
Tioga County Sheriff's Office,103 Corporate Dr, 
Tioga Police Department,P. O. Box 206, 
Tioga Police Department,Po Box 218, 
Tipp City Police Department,260 South Garber Drive, 
Tippah County Sheriff's Office,205 W Spring St, 
Tippecanoe County Sheriff's Office,2640 Duncan Rd, 
Tipton County Sheriff's Office,121 W Madison St, 
Tipton County Sheriff's Office,1801 S College St Ste 106, 
Tipton Police,225 East Jefferson Street, 
Tipton Police Department,Po Box 517, 
Tipton Police Department,P. O. Box 514, 
Tipton Police Department,407 Lynn St, 
Tiptonville Police Department,130 S. Court Street, 
Tisbury Police Department,Po Box 426, 
Tishomingo County Sheriff's Office,1111 Maria Ln, 
Tishomingo Police Department,204 S. Capitol, 
Tishomingo Police Department,Post Office Box 70, 
Tittabawassee Township Police Department,355 Church St, 
Titus County Constable Pct. 1,100 S. Madison, 
Titus County Constable Pct. 2,100 S Madison, 
Titus County Fresh Water Supply Police Dept.,P.O. Box 650, 
Titus County Sheriff's Office,304 S Van Buren Ave, 
Titusville Police Department,323 N Franklin St, 
Titusville Police Department,1100 John Glenn Blvd., 
Tiverton Police Department,20 Industrial Way, 
Toccoa Police Department,Post Office Box 579, 
Todd County Sheriff's Office,Po Box 1038, 
Todd County Sheriff's Office,115 3Rd St S, 
Todd County Sheriff's Office,200 E Washington St,PO Box 557
Todd Mission Police Department,21716 FM 1774, 
Togiak Police Dept.,P.O. Box 47, 
Tohono O'Odham Tribal Police,Po Box 189, 
Tolar Police Department,Po Box 100,105 PINE LANE
Toledo Metropolitan Park District Police,5100 West Central Avnue, 
Toledo Police Department,130 N 2Nd Street,PO BOX 517
Toledo Police Department,250 Nw Highway 20, 
Toledo Police Department,Po Box 373, 
Toledo Police Department,525 N. Erie Street, 
Toledo Police Dept,Box 443, 
Toledo/Lucas County Port Authority Police Dept,One Maritime Plaza, 
Tolleson Police Department,9555 West Van Buren, 
Tolono Police Dept,507 W Strong St, 
Toluca Police Dept,102 North Main, 
Tom Bean Police Department,PO Box 659, 
Tom Green County Constable Pct. 1,122 West Harris, 
Tom Green County Constable Pct. 2,112 W. Beauregard Ave, 
Tom Green County Constable Pct. 3,3005 North Chadbourne, 
Tom Green County Constable Pct. 4,112 W. Beauregard, 
Tom Green County Sheriff's Office,222 W Harris Ave, 
Tomah Police Department,805 Superior Ave, 
Tomahawk Police Department,219 West Somo Avenue, 
Tomball Police Department,400 Fannin St., 
Tombstone Marshal's Office,P. O. Box 339, 
Tompkins County Sheriff's Office,779 Warren Rd, 
Tompkinsville Police Department,206 N. Magnolia St., 
Toms River Police,255 Oak Drive, 
Tonasket Police Department,S 211 Whitcomb Ave, 
Tonawanda Police Department,200 Niagara Street, 
Tonawanda Town Police Department,1835 Sheridan Drive, 
Tonganoxie Police Department,Po Box 326, 
Tonkawa Police Department,110 E. N O C  DRIVE, 
